2.688189062333305041e-02,6.273845271857340922e-02,9.103796566580933947e-01
1.451525124415546930e-01,2.350625400660846243e-01,6.197849474923606827e-01
2.905883919408172589e-01,3.919239062645597516e-01,3.174877017946228785e-01
6.434688627094602154e-02,1.258943198472839142e-01,8.097587938817700781e-01
2.587752277030773342e-03,8.657608690788113140e-03,9.887546390321813039e-01
2.396708949749827894e-06,2.127740784859461996e-06,9.999954755502654669e-01
1.793908532428674721e-02,4.493827484339138478e-02,9.371226398323221352e-01
4.013878298884851341e-08,3.566258475225052908e-08,9.999999241986322618e-01
1.077939523557017621e-07,9.581650870123989496e-08,9.999997963895389530e-01
8.000131548900223917e-08,7.116919034927741854e-08,9.999998488294942200e-01
2.150822520482432877e-06,1.922802077272289596e-06,9.999959263754021332e-01
1.524822954623872257e-07,1.389521806997765111e-07,9.999997085655238926e-01
1.428134668863197967e-04,3.484810891059255972e-03,9.963723756420544975e-01
3.330547787727750321e-06,3.626734946710091721e-06,9.999930427172655234e-01
8.735054061846063769e-03,9.902459623686352685e-01,1.018983569518665299e-03
1.982090167460094643e-01,6.952420114162689568e-01,1.065489718377216066e-01
2.003274139087184713e-01,7.988670173003630248e-01,8.055687909184102964e-04
8.794100945493893429e-01,1.021744174117411447e-01,1.841548803886945002e-02
8.826549204511440205e-01,9.947613919984678310e-02,1.786894034900917208e-02
9.564974319044636797e-01,3.722045786998028072e-02,6.282110225556030055e-03
9.685516900623605263e-01,2.693707433629171505e-02,4.511235601347866192e-03
9.568980121087784507e-01,3.798729686576379772e-02,5.114691025457876461e-03
2.463895526173663295e-02,9.707168902481823070e-01,4.644154490081311634e-03
7.472225288434934665e-02,9.039780154236120024e-01,2.129973169203884520e-02
1.294572577142314058e-02,9.843180295931359680e-01,2.736244635441169824e-03
2.717728674211403184e-02,9.666072827793196209e-01,6.215430478566454781e-03
9.159456910486921816e-03,9.890293489592739684e-01,1.811194130239004172e-03
2.691696097714153454e-02,9.668762680198722537e-01,6.206771002986080817e-03
7.581110715137645562e-02,9.015849738738244135e-01,2.260391897479938420e-02
9.181639924496706739e-03,9.890411935668174115e-01,1.777166508685949645e-03
1.466141761595406157e-02,9.823094647598599183e-01,3.029117624186059617e-03
2.263183489161788298e-01,6.561727719249870194e-01,1.175088791588342479e-01
7.663732492714286915e-02,9.012559488131748342e-01,2.210672625968229665e-02
1.538714571993519686e-01,7.845688277149998058e-01,6.155971508564820477e-02
1.688706817831037849e-02,9.796700251853361907e-01,3.442906636353347538e-03
1.998960388201874161e-01,7.054764921490663809e-01,9.462746903074602256e-02
2.598493027743939421e-01,5.898979127521616350e-01,1.502527844734443674e-01
2.972790550127267228e-01,5.048279749308415276e-01,1.978929700564320826e-01
3.032278256153173035e-01,4.221726721202118116e-01,2.745995022644709405e-01
2.907275087844604297e-02,6.711920319049416439e-02,9.038080459310599002e-01
2.259140232102816448e-01,3.528727391424973381e-01,4.212132376472209616e-01
1.482296459717142439e-02,1.186894918227502337e-02,9.733080862205534256e-01
2.041284807603382153e-03,1.174553845435396876e-03,9.967841613469611284e-01
1.243363109241970611e-02,9.852530434487243305e-01,2.313325458855892709e-03
9.910079217127514342e-03,9.879287534757548173e-01,2.161167307117682276e-03
9.090925330434488499e-03,9.889327822946045732e-01,1.976292374961123935e-03
9.337306150146326006e-03,9.886483102957936975e-01,2.014383554060056748e-03
8.440242066608762486e-03,9.896420580863606320e-01,1.917699847030639778e-03
1.648145142915020955e-02,9.801777423720837712e-01,3.340806198766155862e-03
9.917999824924195185e-03,9.879328268173843686e-01,2.149173357691518214e-03
6.093383937193664647e-03,9.926455661495696692e-01,1.261049913236678317e-03
2.005142487458112799e-02,9.753506139593185464e-01,4.597961166100262252e-03
1.406252072414118093e-01,8.059558498061796250e-01,5.341894295240832286e-02
1.981909327486399905e-02,9.760469023433183677e-01,4.134004381817778934e-03
